route,workload,rc,devices,n_prompt,n_gen,avg_ms,tokens/s
cpu,pp128_tg32,0,none,128,32,20658.091,7.745149
cpu,pp256_tg1,0,none,256,1,31908.013,8.054403
cpu,pp256_tg32,0,none,256,32,36695.308,7.848415
cpu,pp256_tg12,0,none,256,12,33643.267,7.965933
opencl,pp128_tg32,0,GPUOpenCL,128,32,1711.453,93.487807
opencl,pp256_tg1,0,GPUOpenCL,256,1,850.675,302.113065
opencl,pp256_tg32,0,GPUOpenCL,256,32,2134.170,134.947066
opencl,pp256_tg12,0,GPUOpenCL,256,12,1305.187,205.334515
qnn,pp128_tg32,0,qnn-npu,128,32,2403.105,66.580519
qnn,pp256_tg1,0,qnn-npu,256,1,880.061,292.025181
qnn,pp256_tg32,0,qnn-npu,256,32,2337.865,123.189345
qnn,pp256_tg12,0,qnn-npu,256,12,1388.649,192.993289
