route,workload,rc,devices,n_prompt,n_gen,avg_ms,tokens/s
cpu->opencl,pp512_tg1,0,GPUOpenCL,512,1,119447.926,4.294759
cpu->opencl,pp512_tg32,0,GPUOpenCL,512,32,121414.660,4.480513
cpu->opencl,pp512_tg128,0,GPUOpenCL,512,128,126116.893,5.074657
cpu->qnn-npu,pp512_tg1,0,qnn-npu,512,1,118278.308,4.337228
cpu->qnn-npu,pp512_tg32,0,qnn-npu,512,32,119694.494,4.544904
cpu->qnn-npu,pp512_tg128,0,qnn-npu,512,128,123893.801,5.165714
opencl->cpu,pp512_tg1,0,GPUOpenCL,512,1,5987.453,85.679174
opencl->cpu,pp512_tg32,0,GPUOpenCL,512,32,23678.731,22.974205
opencl->cpu,pp512_tg128,0,GPUOpenCL,512,128,78168.052,8.187488
opencl->qnn-npu,pp512_tg1,0,qnn-npu,512,1,2041.712,251.259762
opencl->qnn-npu,pp512_tg1,0,GPUOpenCL,512,1,5277.839,97.198873
opencl->qnn-npu,pp512_tg32,0,qnn-npu,512,32,3256.329,167.059297
opencl->qnn-npu,pp512_tg32,0,GPUOpenCL,512,32,6945.222,78.327232
opencl->qnn-npu,pp512_tg128,0,qnn-npu,512,128,7898.900,81.023937
opencl->qnn-npu,pp512_tg128,0,GPUOpenCL,512,128,11501.923,55.642868
qnn-npu->cpu,pp512_tg1,0,qnn-npu,512,1,2298.498,223.189198
qnn-npu->cpu,pp512_tg32,0,qnn-npu,512,32,19526.769,27.859191
qnn-npu->cpu,pp512_tg128,0,qnn-npu,512,128,74493.022,8.591409
qnn-npu->opencl,pp512_tg1,0,qnn-npu,512,1,1409.107,364.060351
qnn-npu->opencl,pp512_tg1,0,GPUOpenCL,512,1,3437.112,149.253211
qnn-npu->opencl,pp512_tg32,0,qnn-npu,512,32,3422.517,158.947354
qnn-npu->opencl,pp512_tg32,0,GPUOpenCL,512,32,4796.107,113.425333
qnn-npu->opencl,pp512_tg128,0,qnn-npu,512,128,7884.249,81.174505
qnn-npu->opencl,pp512_tg128,0,GPUOpenCL,512,128,9008.005,71.047915
