route,workload,rc,devices,n_prompt,n_gen,avg_ms,tokens/s
cpu,pp128_tg0,0,none,128,0,16117.565,7.941646
cpu,pp256_tg0,0,none,256,0,31774.438,8.056791
cpu,pp512_tg0,0,none,512,0,60951.911,8.400065
cpu,pp0_tg1,1,,,,,
cpu,pp0_tg32,1,,,,,
cpu,pp0_tg128,1,,,,,
cpu,pp0_tg256,1,,,,,
opencl,pp128_tg0,0,GPUOpenCL,128,0,443.398,288.679750
opencl,pp256_tg0,0,GPUOpenCL,256,0,806.133,317.565394
opencl,pp512_tg0,0,GPUOpenCL,512,0,1572.946,325.503920
opencl,pp0_tg1,1,,,,,
opencl,pp0_tg32,1,,,,,
opencl,pp0_tg128,1,,,,,
opencl,pp0_tg256,1,,,,,
qnn,pp128_tg0,0,qnn-npu,128,0,1235.502,103.601597
qnn,pp256_tg0,0,qnn-npu,256,0,842.627,303.811796
qnn,pp512_tg0,0,qnn-npu,512,0,1094.167,467.936025
qnn,pp0_tg1,1,,,,,
qnn,pp0_tg32,1,,,,,
qnn,pp0_tg128,1,,,,,
qnn,pp0_tg256,1,,,,,
