case,category,prefill,decode,workload,pp,tg,line,phase,n_tokens,route_apply,label,reason,decide_us,apply_us,target
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1153,prefill,256,true,prefill,phase-prefill-route,3,17,"attn=cpu,ffn=cpu,output=cpu"
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1220,decode,1,true,decode,phase-decode-route,4,11553,"attn=opencl,ffn=opencl,output=opencl"
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1235,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1238,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1241,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1244,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1247,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1250,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1253,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1256,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1259,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1262,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1265,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1268,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1271,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1274,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg16,switch,cpu,opencl,pp256_tg16,256,16,1277,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1153,prefill,256,true,prefill,phase-prefill-route,2,14,"attn=cpu,ffn=cpu,output=cpu"
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1220,decode,1,true,decode,phase-decode-route,7,10598,"attn=opencl,ffn=opencl,output=opencl"
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1235,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1238,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1241,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1244,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1247,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1250,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1253,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1256,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1259,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1262,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1265,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1268,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1271,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1274,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1277,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1280,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1283,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1286,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1289,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1292,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1295,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1298,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1301,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1304,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1307,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1310,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1313,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1316,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1319,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1322,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg32,switch,cpu,opencl,pp256_tg32,256,32,1325,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1153,prefill,256,true,prefill,phase-prefill-route,2,15,"attn=cpu,ffn=cpu,output=cpu"
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1220,decode,1,true,decode,phase-decode-route,4,10921,"attn=opencl,ffn=opencl,output=opencl"
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1235,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1238,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1241,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1244,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1247,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1250,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1253,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1256,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1259,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1262,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1265,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1268,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1271,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1274,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1277,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1280,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1283,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1286,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1289,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1292,decode,1,false,,,,,
switch_cpu_to_opencl_pp256_tg64,switch,cpu,opencl,pp256_tg64,256,64,1295,decode,1,false,,,,,
