route,workload,rc,devices,n_prompt,n_gen,avg_ms,tokens/s
cpu->opencl,pp256_tg16,0,GPUOpenCL,256,16,74703.793,3.641047
cpu->opencl,pp256_tg32,0,GPUOpenCL,256,32,74804.986,3.850011
cpu->opencl,pp256_tg64,0,GPUOpenCL,256,64,76350.359,4.191205
cpu->opencl,pp512_tg16,0,GPUOpenCL,512,16,120929.741,4.366172
cpu->opencl,pp512_tg32,0,GPUOpenCL,512,32,121069.585,4.493284
cpu->opencl,pp512_tg64,0,GPUOpenCL,512,64,124306.978,4.633690
cpu->qnn-npu,pp256_tg16,0,qnn-npu,256,16,72614.127,3.745828
cpu->qnn-npu,pp256_tg32,0,qnn-npu,256,32,72673.263,3.962943
cpu->qnn-npu,pp256_tg64,0,qnn-npu,256,64,74008.992,4.323799
cpu->qnn-npu,pp512_tg16,0,qnn-npu,512,16,118415.781,4.458865
cpu->qnn-npu,pp512_tg32,0,qnn-npu,512,32,119860.558,4.538607
cpu->qnn-npu,pp512_tg64,0,qnn-npu,512,64,120775.034,4.769198
opencl->cpu,pp256_tg16,0,GPUOpenCL,256,16,13273.779,20.491526
opencl->cpu,pp256_tg32,0,GPUOpenCL,256,32,22173.693,12.988364
opencl->cpu,pp256_tg64,0,GPUOpenCL,256,64,40077.439,7.984542
opencl->cpu,pp512_tg16,0,GPUOpenCL,512,16,14454.757,36.527766
opencl->cpu,pp512_tg32,0,GPUOpenCL,512,32,23532.246,23.117216
opencl->cpu,pp512_tg64,0,GPUOpenCL,512,64,41684.741,13.818006
opencl->qnn-npu,pp256_tg16,0,qnn-npu,256,16,2419.787,112.406599
opencl->qnn-npu,pp256_tg16,0,GPUOpenCL,256,16,4978.695,54.632790
opencl->qnn-npu,pp256_tg32,0,qnn-npu,256,32,2928.517,98.343276
opencl->qnn-npu,pp256_tg32,0,GPUOpenCL,256,32,5698.011,50.543954
opencl->qnn-npu,pp256_tg64,0,qnn-npu,256,64,4502.719,71.068168
opencl->qnn-npu,pp256_tg64,0,GPUOpenCL,256,64,7123.255,44.923282
opencl->qnn-npu,pp512_tg16,0,qnn-npu,512,16,2471.498,213.635656
opencl->qnn-npu,pp512_tg16,0,GPUOpenCL,512,16,6140.315,85.989079
opencl->qnn-npu,pp512_tg32,0,qnn-npu,512,32,3154.928,172.428665
opencl->qnn-npu,pp512_tg32,0,GPUOpenCL,512,32,7021.339,77.478102
opencl->qnn-npu,pp512_tg64,0,qnn-npu,512,64,4652.330,123.808933
opencl->qnn-npu,pp512_tg64,0,GPUOpenCL,512,64,8389.128,68.660297
qnn-npu->cpu,pp256_tg16,0,qnn-npu,256,16,10389.923,26.179211
qnn-npu->cpu,pp256_tg32,0,qnn-npu,256,32,19020.235,15.141769
qnn-npu->cpu,pp256_tg64,0,qnn-npu,256,64,36863.869,8.680586
qnn-npu->cpu,pp512_tg16,0,qnn-npu,512,16,10318.972,51.167888
qnn-npu->cpu,pp512_tg32,0,qnn-npu,512,32,19471.406,27.938403
qnn-npu->cpu,pp512_tg64,0,qnn-npu,512,64,37722.260,15.269499
qnn-npu->opencl,pp256_tg16,0,qnn-npu,256,16,1739.058,156.406522
qnn-npu->opencl,pp256_tg16,0,GPUOpenCL,256,16,3846.232,70.718559
qnn-npu->opencl,pp256_tg32,0,qnn-npu,256,32,2924.781,98.468904
qnn-npu->opencl,pp256_tg32,0,GPUOpenCL,256,32,4326.853,66.561082
qnn-npu->opencl,pp256_tg64,0,qnn-npu,256,64,4536.612,70.537227
qnn-npu->opencl,pp256_tg64,0,GPUOpenCL,256,64,5800.554,55.167145
qnn-npu->opencl,pp512_tg16,0,qnn-npu,512,16,2345.818,225.081443
qnn-npu->opencl,pp512_tg16,0,GPUOpenCL,512,16,4069.159,129.756532
qnn-npu->opencl,pp512_tg32,0,qnn-npu,512,32,3124.291,174.119482
qnn-npu->opencl,pp512_tg32,0,GPUOpenCL,512,32,4916.464,110.648629
qnn-npu->opencl,pp512_tg64,0,qnn-npu,512,64,4633.334,124.316522
qnn-npu->opencl,pp512_tg64,0,GPUOpenCL,512,64,6416.033,89.775095
